AÑO,MES,DIA,FECHA,HORA,KW-H
2015,4,miercoles,29,0,4200
2015,4,miercoles,29,1,4400
2015,4,miercoles,29,2,4300
2015,4,miercoles,29,3,4300
2015,4,miercoles,29,4,3800
2015,4,miercoles,29,5,3500
2015,4,miercoles,29,6,3700
2015,4,miercoles,29,7,4000
2015,4,miercoles,29,8,4200
2015,4,miercoles,29,9,4200
2015,4,miercoles,29,10,4200
2015,4,miercoles,29,11,4200
2015,4,miercoles,29,12,4200
2015,4,miercoles,29,13,4200
2015,4,miercoles,29,14,4200
2015,4,miercoles,29,15,4200
2015,4,miercoles,29,16,4200
2015,4,miercoles,29,17,4200
2015,4,miercoles,29,18,4200
2015,4,miercoles,29,19,4200
2015,4,miercoles,29,20,4200
2015,4,miercoles,29,21,4200
2015,4,miercoles,29,22,4200
2015,4,miercoles,29,23,4200
2015,4,jueves,30,0,4200
2015,4,jueves,30,1,3500
2015,4,jueves,30,2,3500
2015,4,jueves,30,3,3400
2015,4,jueves,30,4,3500
2015,4,jueves,30,5,3900
2015,4,jueves,30,6,3800
2015,4,jueves,30,7,4100
2015,4,jueves,30,8,4100
2015,4,jueves,30,9,4100
2015,4,jueves,30,10,4100
2015,4,jueves,30,11,4100
2015,4,jueves,30,12,4100
2015,4,jueves,30,13,4100
2015,4,jueves,30,14,4100
2015,4,jueves,30,15,4100
2015,4,jueves,30,16,3800
2015,4,jueves,30,17,4000
2015,4,jueves,30,18,4000
2015,4,jueves,30,19,4100
2015,4,jueves,30,20,4100
2015,4,jueves,30,21,4100
2015,4,jueves,30,22,4100
2015,4,jueves,30,23,4100
2015,5,viernes,1,0,4100
2015,5,viernes,1,1,4100
2015,5,viernes,1,2,4100
2015,5,viernes,1,3,2700
2015,5,viernes,1,4,2500
2015,5,viernes,1,5,2700
2015,5,viernes,1,6,3200
2015,5,viernes,1,7,3400
2015,5,viernes,1,8,3600
2015,5,viernes,1,9,3600
2015,5,viernes,1,10,4200
2015,5,viernes,1,11,4200
2015,5,viernes,1,12,4200
2015,5,viernes,1,13,4200
2015,5,viernes,1,14,3600
2015,5,viernes,1,15,3600
2015,5,viernes,1,16,3500
2015,5,viernes,1,17,3500
2015,5,viernes,1,18,3500
2015,5,viernes,1,19,4200
2015,5,viernes,1,20,4200
2015,5,viernes,1,21,4200
2015,5,viernes,1,22,3300
2015,5,viernes,1,23,3330
2015,5,sábado,2,0,3270
2015,5,sábado,2,1,3400
2015,5,sábado,2,2,3400
2015,5,sábado,2,3,3200
2015,5,sábado,2,4,3000
2015,5,sábado,2,5,3200
2015,5,sábado,2,6,4000
2015,5,sábado,2,7,4000
2015,5,sábado,2,8,4000
2015,5,sábado,2,9,4000
2015,5,sábado,2,10,3600
2015,5,sábado,2,11,3600
2015,5,sábado,2,12,3600
2015,5,sábado,2,13,3600
2015,5,sábado,2,14,3200
2015,5,sábado,2,15,3200
2015,5,sábado,2,16,3200
2015,5,sábado,2,17,3300
2015,5,sábado,2,18,3500
2015,5,sábado,2,19,4200
2015,5,sábado,2,20,4200
2015,5,sábado,2,21,4200
2015,5,sábado,2,22,3900
2015,5,sábado,2,23,3100
2015,5,domingo,3,0,3100
2015,5,domingo,3,1,2800
2015,5,domingo,3,2,2000
2015,5,domingo,3,3,1800
2015,5,domingo,3,4,1800
2015,5,domingo,3,5,1800
2015,5,domingo,3,6,2300
2015,5,domingo,3,7,2800
2015,5,domingo,3,8,2900
2015,5,domingo,3,9,2900
2015,5,domingo,3,10,3400
2015,5,domingo,3,11,3400
2015,5,domingo,3,12,3400
2015,5,domingo,3,13,2800
2015,5,domingo,3,14,2800
2015,5,domingo,3,15,2800
2015,5,domingo,3,16,2800
2015,5,domingo,3,17,2800
2015,5,domingo,3,18,2800
2015,5,domingo,3,19,3800
2015,5,domingo,3,20,3800
2015,5,domingo,3,21,3800
2015,5,domingo,3,22,3600
2015,5,domingo,3,23,2400
2015,5,lunes,4,0,2400
2015,5,lunes,4,1,2400
2015,5,lunes,4,2,2400
2015,5,lunes,4,3,2400
2015,5,lunes,4,4,2400
2015,5,lunes,4,5,2200
2015,5,lunes,4,6,2400
2015,5,lunes,4,7,2900
2015,5,lunes,4,8,3200
2015,5,lunes,4,9,3400
2015,5,lunes,4,10,3400
2015,5,lunes,4,11,3400
2015,5,lunes,4,12,3400
2015,5,lunes,4,13,3400
2015,5,lunes,4,14,3200
2015,5,lunes,4,15,3200
2015,5,lunes,4,16,3000
2015,5,lunes,4,17,3000
2015,5,lunes,4,18,3000
2015,5,lunes,4,19,3100
2015,5,lunes,4,20,3100
2015,5,lunes,4,21,3400
2015,5,lunes,4,22,3400
2015,5,lunes,4,23,3400
2015,5,martes,5,0,3400
2015,5,martes,5,1,3400
2015,5,martes,5,2,3400
2015,5,martes,5,3,3000
2015,5,martes,5,4,3000
2015,5,martes,5,5,3000
2015,5,martes,5,6,3000
2015,5,martes,5,7,3000
2015,5,martes,5,8,3000
2015,5,martes,5,9,2900
2015,5,martes,5,10,2900
2015,5,martes,5,11,2900
2015,5,martes,5,12,2900
2015,5,martes,5,13,2900
2015,5,martes,5,14,2900
2015,5,martes,5,15,2900
2015,5,martes,5,16,2900
2015,5,martes,5,17,2900
2015,5,martes,5,18,2900
2015,5,martes,5,19,3200
2015,5,martes,5,20,3200
2015,5,martes,5,21,3200
2015,5,martes,5,22,3200
2015,5,martes,5,23,3100
2015,5,miercoles,6,0,3100
2015,5,miercoles,6,1,3100
2015,5,miercoles,6,2,3100
2015,5,miercoles,6,3,2800
2015,5,miercoles,6,4,2800
2015,5,miercoles,6,5,2800
2015,5,miercoles,6,6,2800
2015,5,miercoles,6,7,2800
2015,5,miercoles,6,8,2800
2015,5,miercoles,6,9,2800
2015,5,miercoles,6,10,2800
2015,5,miercoles,6,11,2800
2015,5,miercoles,6,12,2600
2015,5,miercoles,6,13,2600
2015,5,miercoles,6,14,2400
2015,5,miercoles,6,15,2400
2015,5,miercoles,6,16,2400
2015,5,miercoles,6,17,2400
2015,5,miercoles,6,18,2400
2015,5,miercoles,6,19,2400
2015,5,miercoles,6,20,2400
2015,5,miercoles,6,21,2600
2015,5,miercoles,6,22,2700
2015,5,miercoles,6,23,2700
2015,5,jueves,7,0,2700
2015,5,jueves,7,1,2700
2015,5,jueves,7,2,2700
2015,5,jueves,7,3,2700
2015,5,jueves,7,4,2700
2015,5,jueves,7,5,2700
2015,5,jueves,7,6,3400
2015,5,jueves,7,7,3400
