AÑO,MES,DIA,FECHA,HORA,KW-H
2015,1,viernes,16,23,2600
2015,1,sábado,17,0,2200
2015,1,sábado,17,1,2200
2015,1,sábado,17,2,2200
2015,1,sábado,17,3,2200
2015,1,sábado,17,4,2200
2015,1,sábado,17,5,2200
2015,1,sábado,17,6,2200
2015,1,sábado,17,7,2200
2015,1,sábado,17,8,2200
2015,1,sábado,17,9,2200
2015,1,sábado,17,10,2200
2015,1,sábado,17,11,2800
2015,1,sábado,17,12,2800
2015,1,sábado,17,13,2800
2015,1,sábado,17,14,2800
2015,1,sábado,17,15,2800
2015,1,sábado,17,16,2900
2015,1,sábado,17,17,2900
2015,1,sábado,17,18,3300
2015,1,sábado,17,19,3400
2015,1,sábado,17,20,3400
2015,1,sábado,17,21,3400
2015,1,sábado,17,22,3400
2015,1,sábado,17,23,3400
2015,1,domingo,18,0,3400
2015,1,domingo,18,1,3500
2015,1,domingo,18,2,3500
2015,1,domingo,18,3,3600
2015,1,domingo,18,4,3600
2015,1,domingo,18,5,3800
2015,1,domingo,18,6,3800
2015,1,domingo,18,7,4100
2015,1,domingo,18,8,4100
2015,1,domingo,18,9,4100
2015,1,domingo,18,10,4200
2015,1,domingo,18,11,4400
2015,1,domingo,18,12,4400
2015,1,domingo,18,13,4400
2015,1,domingo,18,14,4400
2015,1,domingo,18,15,4400
2015,1,domingo,18,16,4200
2015,1,domingo,18,17,4600
2015,1,domingo,18,18,4400
2015,1,domingo,18,19,4600
2015,1,domingo,18,20,4600
2015,1,domingo,18,21,4600
2015,1,domingo,18,22,4300
2015,1,domingo,18,23,3700
2015,1,lunes,19,0,3600
2015,1,lunes,19,1,3600
2015,1,lunes,19,2,3600
2015,1,lunes,19,3,3600
2015,1,lunes,19,4,3600
2015,1,lunes,19,5,3600
2015,1,lunes,19,6,3900
2015,1,lunes,19,7,4000
2015,1,lunes,19,8,4000
2015,1,lunes,19,9,4300
2015,1,lunes,19,10,4300
2015,1,lunes,19,11,4300
2015,1,lunes,19,12,4300
2015,1,lunes,19,13,4200
2015,1,lunes,19,14,4200
2015,1,lunes,19,15,4200
2015,1,lunes,19,16,4200
2015,1,lunes,19,17,3200
2015,1,lunes,19,18,3500
2015,1,lunes,19,19,4000
2015,1,lunes,19,20,4400
2015,1,lunes,19,21,4400
2015,1,lunes,19,22,4100
2015,1,lunes,19,23,4000
2015,1,martes,20,0,4100
2015,1,martes,20,1,3800
2015,1,martes,20,2,3000
2015,1,martes,20,3,3000
2015,1,martes,20,4,3000
2015,1,martes,20,5,3000
2015,1,martes,20,6,3000
2015,1,martes,20,7,4000
2015,1,martes,20,8,4000
2015,1,martes,20,9,4200
2015,1,martes,20,10,4200
2015,1,martes,20,11,4200
2015,1,martes,20,12,4200
2015,1,martes,20,13,4100
2015,1,martes,20,14,4100
2015,1,martes,20,15,4100
2015,1,martes,20,16,4100
2015,1,martes,20,17,3600
2015,1,martes,20,18,3200
2015,1,martes,20,19,4200
2015,1,martes,20,20,4400
2015,1,martes,20,21,3800
2015,1,martes,20,22,3000
2015,1,martes,20,23,2800
